work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,Mid-level,Full-time,Data DevOps Engineer,88000,EUR,95012,DE,Hybrid,Germany,L,Other
2023,Senior,Full-time,Data Architect,186000,USD,186000,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2023,Senior,Full-time,Data Architect,81800,USD,81800,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2023,Senior,Full-time,Data Scientist,212000,USD,212000,US,In-person,United States,M,Advanced Data Science and Research
2023,Senior,Full-time,Data Scientist,93300,USD,93300,US,In-person,United States,M,Advanced Data Science and Research
2023,Senior,Full-time,Data Scientist,130000,USD,130000,US,Remote,United States,M,Advanced Data Science and Research
2023,Senior,Full-time,Data Scientist,100000,USD,100000,US,Remote,United States,M,Advanced Data Science and Research
2023,Mid-level,Full-time,Machine Learning Researcher,224400,USD,224400,US,In-person,United States,M,ML Development and Research
2023,Mid-level,Full-time,Machine Learning Researcher,138700,USD,138700,US,In-person,United States,M,ML Development and Research
2023,Executive,Full-time,Data Engineer,210000,USD,210000,US,Remote,United States,M,Data Engineering and Integration
2023,Executive,Full-time,Data Engineer,168000,USD,168000,US,Remote,United States,M,Data Engineering and Integration
2023,Senior,Full-time,Machine Learning Engineer,224400,USD,224400,US,In-person,United States,M,ML Development and Research
2023,Senior,Full-time,Machine Learning Engineer,138700,USD,138700,US,In-person,United States,M,ML Development and Research
2023,Mid-level,Full-time,Data Scientist,35000,GBP,43064,GB,In-person,United Kingdom,M,Advanced Data Science and Research
2023,Mid-level,Full-time,Data Scientist,30000,GBP,36912,GB,In-person,United Kingdom,M,Advanced Data Science and Research
2023,Entry-level,Full-time,Data Analyst,95000,USD,95000,US,In-person,United States,M,Core Data Analysis
2023,Entry-level,Full-time,Data Analyst,75000,USD,75000,US,In-person,United States,M,Core Data Analysis
2023,Senior,Full-time,Data Scientist,300000,USD,300000,US,In-person,United States,M,Advanced Data Science and Research
2023,Senior,Full-time,Data Scientist,234000,USD,234000,US,In-person,United States,M,Advanced Data Science and Research
2023,Mid-level,Full-time,Analytics Engineer,140000,USD,140000,US,In-person,United States,M,Analytics Engineering and Consulting
2023,Mid-level,Full-time,Analytics Engineer,120000,USD,120000,US,In-person,United States,M,Analytics Engineering and Consulting
2023,Mid-level,Full-time,Machine Learning Engineer,204500,USD,204500,US,In-person,United States,M,ML Development and Research
2023,Mid-level,Full-time,Machine Learning Engineer,142200,USD,142200,US,In-person,United States,M,ML Development and Research
